"","SPM.Control.1","SPM.LPS.1","LPM.Control.1","LPM.LPS.1","SPM.Control.2","SPM.LPS.2","LPM.Control.2","LPM.LPS.2","SPM.Control.3","SPM.LPS.3","LPM.Control.3","LPM.LPS.3","SPM.Control.4","SPM.LPS.4","LPM.Control.4","LPM.LPS.4"
"PLK4",4.59880703902022,4.17094205999438,5.04957834970074,4.61009523852382,4.3431516540714,3.32486783919265,5.70714380748042,4.21913735511316,3.37863376329493,3.90390556792005,4.43570599922793,4.43759497171153,3.69416786102839,3.11608552023928,5.10627764521618,4.39789486789787
"TRAF3IP2",7.14773804317761,8.0628546448782,6.69774781496353,8.66971056889169,6.44352367157163,8.70035446479723,6.30818719013176,8.39798367619943,6.64145606868366,7.98032023714263,5.84159248524137,7.50109915585394,7.03334356312591,8.28112517081891,6.67653460966214,8.11378881379849
"SMPDL3A",8.12474981655281,8.46629983594515,9.69786871989273,9.6728954481612,8.91577192284153,9.06530594523819,9.85528517856808,9.88382534398147,8.58531023225503,8.9292430433241,10.181777388367,10.177999327276,8.94240403082758,9.09416249036746,9.9677213358408,9.90733100724356
"TOMM34",7.46876416637256,8.59216411804923,7.80220624534882,8.47173358738965,7.43431523495534,8.83860094416771,7.48922283169754,8.55975479264426,7.27340033169058,8.27414654084322,7.3196531713344,7.49959130383141,7.87949124404369,8.54904386004022,8.29509496860236,8.47789866104037
"IFI44L",7.50205081491382,8.93862081848363,8.60109812736397,10.4041426780055,8.18683488956573,9.84493373421222,8.42363781046257,9.45293666869035,7.28531798438511,9.32704644717766,8.8233950981691,9.17182452221857,8.07422113872391,9.69895870688482,8.1622617420503,9.65904868857812
"LILRB5",5.90179991504712,5.17483242675585,7.76207086440934,7.11425577609524,6.10795413911533,6.26350152262002,8.61264391203627,8.49641244406927,6.37561333190783,6.46733300972585,9.06649247819444,9.00286065739707,5.63584332960469,6.16980345280756,8.02233101445652,8.00474653582101
"SDS",7.34676965529475,6.13857198945338,7.63336353000246,5.30174993687046,8.48896529335778,6.22771069569444,7.59970786813854,6.00404225636913,6.72984741216854,5.02075148638044,6.7828160297532,5.68364575230489,6.66929981419865,5.16606373698605,6.69754097322386,5.56668779437367
"KIF2C",3.14288627493436,3.44180037029117,5.60941338804357,4.96463495392215,3.7794794842928,3.63810430260915,6.09383154198494,5.64727568374984,3.7963667793543,3.82655199885506,5.31657507598341,4.94075910777001,3.57187031623064,3.6625121376748,5.37958815223046,5.43571364064351
"ZWINT",4.50020982426211,4.07244991992835,5.87179981581094,6.24747909873848,5.22034105650142,5.17448779483055,7.1926725931827,6.81093057243911,4.8844054311874,4.43129199366211,6.04387273710309,6.16943609751738,4.97706107421653,4.85433216051787,6.41472399082309,6.28836578546311
"AKAP2",9.23462649568617,10.3163945820435,9.08127518168392,10.2229008162003,8.99575653523163,10.2315022677871,7.80664580349154,9.2800492098953,9.58189939371723,10.5208903291078,8.58716206999181,9.747816827978,9.88346927190032,10.3956428730009,8.85215404552627,9.79127425834993
"RASSF8",5.16112307327426,6.54940739129636,5.75770783091915,6.90759907471829,6.0412994772899,7.04027496350746,6.15858199277941,7.3531389523684,5.80141259130236,6.61116425960227,5.55973557355399,6.7225736551008,5.40510635836261,6.29097365071696,5.94107909926528,7.25362627283618
"SP140",5.57478821653823,6.06054547193608,5.71746050992923,7.36402784395857,5.70160522255004,7.13514596373638,5.94532830251469,7.01045130468777,5.78021255813295,6.16889788950687,6.03654049825977,6.54063173927562,4.78448397783536,6.60400181661659,5.1794189155977,6.56910180098583
"USP18",3.91618369016621,7.50907524177038,6.06755075230623,9.91033839969656,5.84997944874783,9.34295708247349,5.92421583518251,8.88517269383103,5.23803915232411,8.06696216024151,5.70120060922551,7.65794410430461,5.97788010534892,8.87761544331419,5.9526777886234,9.15661589592793
"GLMP",7.31328622765286,7.10898662873808,9.31846834266506,8.98093113679733,9.27192974798283,8.84889522697408,10.0631862998839,9.82962836536899,9.28987134917251,9.0556690933301,10.4226162829978,10.5066377505458,8.89856397591872,8.5980841992956,9.96545643635646,9.88912564068101
"LYST",8.53930594118946,8.37148734944349,7.77653344026074,7.65290728259195,8.76083706838946,8.31756724957306,7.57198330800495,7.0348734879173,8.90496797603792,8.53464492897169,7.44827993430344,7.20372054957944,8.64502969986335,8.46205119113415,7.61129928510903,7.81313665713962
