"","SPM.Control.1","SPM.LPS.1","LPM.Control.1","LPM.LPS.1","SPM.Control.2","SPM.LPS.2","LPM.Control.2","LPM.LPS.2","SPM.Control.3","SPM.LPS.3","LPM.Control.3","LPM.LPS.3","SPM.Control.4","SPM.LPS.4","LPM.Control.4","LPM.LPS.4"
"TC0100018361.hg.1",5.412940340799,5.22441075949795,6.08117002889229,5.91861008832879,5.8617668870371,5.85596354605313,6.0744282545729,5.84164247029743,5.04615912966078,5.21360872552782,6.08361041122112,6.12646938335506,5.7207894559859,5.9784266144427,5.93413612524872,5.9867153148338
"TC0300007454.hg.1",4.38516620415429,5.1803136856079,6.14145192731871,5.76692821565951,5.51612377604049,4.74520988796997,5.97545439373534,5.78086013944575,5.79385755493362,6.11510772629168,6.41280106177063,6.38034638535742,5.3294039883761,4.96435179957642,5.68695511939573,5.70457827406954
"TC1500010731.hg.1",6.31802967693706,7.27006550216915,6.56886470492002,7.68898370267526,6.25905705029478,7.45304014527889,6.90317436292062,7.39080938381945,5.9238186047653,6.89841485503247,6.76245048098216,7.33580436998973,5.98487874582225,7.31421549873887,6.29842305225336,7.09138733096398
"TC0X00008712.hg.1",5.03460092115598,6.36559778565272,5.23174837284567,6.74881160906051,5.61109926711283,6.91100049065016,4.53804445024761,5.60722465443093,5.48837578391281,6.0553958758754,4.17796540117517,4.45834097885878,6.52727668777292,7.0991298192681,5.59990371957274,6.55691774457197
"TC1000007678.hg.1",4.49587375081526,3.67852086438836,4.84157163184672,4.98193000967526,3.97118454830674,4.71282388803511,4.03444298190325,4.00954288640081,3.89782426404111,4.10870946121145,3.86810377080963,4.06374393136616,4.49769557304286,4.23603818480154,3.85563473025492,4.30554507568552
"TC0400012941.hg.1",9.17965996400433,9.37241379564638,9.0376442078036,9.00125993424812,9.46849282474936,9.09895287674032,9.8907801078689,9.67990520610375,8.46859315763952,8.15664208767341,8.9049491382075,8.87911148302472,8.65005198369203,8.49221876410967,9.14664856184698,9.08733075256694
"TC1500006946.hg.1",6.62771437874571,5.70372623727501,6.37585513314079,5.13221446374172,7.24006364290893,5.57198580138103,7.21756011067719,6.25086645963,6.87114661383293,5.55555999613993,6.26405962399492,5.9415977835294,7.06667523644327,5.44744555177447,6.70017708462176,5.75063253135055
"TC2000007686.hg.1",8.76733512037162,8.57195677066056,9.78156070156286,8.87171071930252,8.90171546088297,8.5908017616421,9.42375193392643,9.1808201784186,8.88508199250015,8.59086333435035,9.60693871755497,9.53882024019491,8.8058975259421,8.40904199988894,9.42719061259577,9.35600251475835
"TC0200012488.hg.1",5.50893417579016,5.56417248931259,5.08419122767388,4.21113051439634,5.35266322812493,5.20863671028031,5.04512742410593,3.82336083299654,5.50314578806367,5.30472327380474,4.09255819806509,4.63602129951314,6.20417797093028,5.74422269358095,4.26248876049769,4.38937655440492
"TC2100006982.hg.1",3.18758119875168,3.58727439169718,3.05656833793341,3.15376943317847,3.4757396911267,2.95393720301718,3.52794817140443,3.89466517174707,5.19659654492888,5.1615058375236,5.80826805434933,5.48864613292557,3.12954646103192,3.6434961581136,3.70669848835745,2.93100895396726
"TC2100008563.hg.1",2.27028109599517,3.22585974782636,2.22006020451686,3.13363386810734,2.48835072338854,3.43699030983484,2.84552208874195,3.13029112776996,2.42158986712105,2.83108751639326,2.56072932994175,2.56902428008166,2.67064816127601,2.32248587926185,2.19984165242004,2.96721567546896
"TC0500007681.hg.1",4.70740619522034,3.53566380316491,3.59975196996061,4.29290551397531,4.4055454395566,3.79639671018497,4.642168717679,4.09227055460293,4.55642685592949,4.44442380759654,4.35130849994707,4.82600385518869,3.65676239016512,4.02704670358805,4.41510640217387,3.97228603191274
"TC0400012943.hg.1",5.50129863027363,6.00183143741678,4.58188833835504,4.88544658059546,5.32868809911852,4.88355128112584,4.91998189308026,4.45084571082059,5.25772211783759,4.28776488430646,4.80350799147677,4.52512195772223,5.33445741923805,3.89516882889413,5.36158030533864,4.84342483281264
"TC1000010724.hg.1",2.55711740373685,3.24076065848143,2.37507023218918,2.34002861477001,2.58623018224301,2.91986558750251,2.39331430284917,1.96856721437075,2.82867178224488,2.65580677548316,2.63454849057973,2.09200361987535,2.2495488611953,2.07975200108221,2.12675837904267,2.76306123059588
"TC1100008454.hg.1",3.35909780461833,3.36846333638869,3.74168866334265,3.43365029367785,3.43766792825147,3.53335913909446,3.87802900028949,4.99411781053419,3.28606822629927,3.8350597155516,5.11070349680102,4.47310027787068,3.2885417909574,3.42841749970039,4.23666022437102,4.74282989687123
"TC1600011465.hg.1",6.26301590247042,5.57839060468103,6.13827601218677,5.0226258720513,5.78944747653453,5.37192661664933,5.24710060539956,4.92965853913608,5.88581283311285,5.62058750720369,5.30305872046427,4.76740959730862,5.95027044206756,5.17753930461209,5.80626996167014,4.88834167444739
"TC1000009920.hg.1",7.79677981680638,9.29312950330427,6.64692841620882,7.63032810330464,6.92147123769502,8.27070040528745,6.00589668146413,7.53725268292118,6.64115956803566,7.99415446635202,6.40156349243053,7.43938694586986,7.17522720386477,7.91594810475189,6.63767690838806,7.07133598297055
"TC0600014101.hg.1",6.41307892610448,6.41523855402214,6.5130028215114,7.24776280282359,6.32720047224222,6.76992409025584,6.66370757701571,6.8192412699802,6.01324399281057,5.84923786440106,5.80561426667785,6.15131104245403,6.31900969074819,6.93848068911517,6.88858169931847,6.80792613023659
"TC0600014109.hg.1",7.27910226237973,7.39245107725189,6.69300483230849,7.83793661064281,6.97898033110215,8.0722778468526,6.71104240982801,7.28327959324441,6.50545966130689,7.36338349895788,6.73228419336317,7.33262192326668,6.54041875746443,7.58585915153417,6.37060084949313,6.99131370871163
"TC1700010847.hg.1",2.67655539068521,2.8210618902319,2.9448524464554,3.37903536926881,3.04637422566907,3.59540101853448,3.12287541187158,3.53841904172217,3.3968184972581,2.9301597235486,3.1459580052415,3.53664734007247,2.86370915946366,2.84576378390924,3.36981378274932,2.69584256135338
"TC1000012497.hg.1",4.16177633120521,4.15125485675207,3.55677855314415,3.25998664720417,3.74568043397969,3.00538119597622,3.67038661045499,3.26069947845929,3.09297694419308,3.38181906423791,2.82659286474385,3.01548796437209,3.44242081676241,3.66396021226184,3.42879504414547,3.28266496636331
"TC1600011406.hg.1",4.58215002212389,4.36333243688844,4.18636092972003,3.80412528067715,4.0638354307618,3.82444136634478,4.61594063556357,4.69160636172148,3.96878184653571,4.72319485333704,4.15321338382556,4.53382573466575,3.97939300590899,4.10652726134486,4.17490975028635,4.07072761956644
"TC1400010623.hg.1",5.60331609565249,6.1932913649603,6.49976283665071,6.12577163234075,6.19322256896144,6.16223694741437,7.21399163945366,6.63576793376595,6.36726035699662,5.86915188253946,7.07405593376648,6.62418903360296,5.66587658706923,5.90559701361013,6.4302431547346,6.68979039558141
"TC0300014048.hg.1",5.0346857760585,4.43770756323636,5.45201801768887,5.0918408699693,5.3925973765207,5.69372758232795,6.27225678220553,5.58818638911174,5.33465164568738,4.8846652218287,6.13624620205379,6.1360607390313,5.18551214782831,5.40045813247273,5.65011336862764,5.99902749395059
"TC1300009992.hg.1",4.91093758684829,4.58555194017312,6.03078641347694,5.27213134001073,5.72695159309188,5.11787575359111,5.74068919973094,5.5046044044256,5.48369325791411,5.18791043679917,5.94046050392851,6.08357519448956,5.56565468962975,4.35946905563049,5.82834231151481,5.67364740796736
